name,link
Addison's disease,https://www.mayoclinic.org/diseases-conditions/addisons-disease/symptoms-causes/syc-20350293
"Adenitis, mesenteric (See: Adenitis, mesenteric, also known asMesenteric lymphadenitis)",https://www.mayoclinic.org/diseases-conditions/mesenteric-lymphadenitis/symptoms-causes/syc-20353799
Adenomyosis,https://www.mayoclinic.org/diseases-conditions/adenomyosis/symptoms-causes/syc-20369138
"ADHD in children (See: ADHD in children, also known asAttention-deficit/hyperactivity disorder (ADHD) in children)",https://www.mayoclinic.org/diseases-conditions/adhd/symptoms-causes/syc-20350889
"ADHD, Adult (See: ADHD, Adult, also known asAdult attention-deficit/hyperactivity disorder (ADHD))",https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878
"Adhesive capsulitis (See: Adhesive capsulitis, also known asFrozen shoulder)",https://www.mayoclinic.org/diseases-conditions/frozen-shoulder/symptoms-causes/syc-20372684
Adjustment disorders,https://www.mayoclinic.org/diseases-conditions/adjustment-disorders/symptoms-causes/syc-20355224
Adnexal tumors,https://www.mayoclinic.org/diseases-conditions/adnexal-tumors/symptoms-causes/syc-20355053
"Adolescent schizophrenia (See: Adolescent schizophrenia, also known asChildhood schizophrenia)",https://www.mayoclinic.org/diseases-conditions/childhood-schizophrenia/symptoms-causes/syc-20354483
Adrenal cancer,https://www.mayoclinic.org/diseases-conditions/adrenal-cancer/symptoms-causes/syc-20351026
"Adrenal gland tumor (See: Adrenal gland tumor, also known asPheochromocytoma)",https://www.mayoclinic.org/diseases-conditions/pheochromocytoma/symptoms-causes/syc-20355367
"Adrenal mass (See: Adrenal mass, also known asBenign adrenal tumors)",https://www.mayoclinic.org/diseases-conditions/benign-adrenal-tumors/symptoms-causes/syc-20356190
Adrenoleukodystrophy,https://www.mayoclinic.org/diseases-conditions/adrenoleukodystrophy/symptoms-causes/syc-20369157
Adult attention-deficit/hyperactivity disorder (ADHD),https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878
Adult Still's disease,https://www.mayoclinic.org/diseases-conditions/adult-stills-disease/symptoms-causes/syc-20351907
Age spots (liver spots),https://www.mayoclinic.org/diseases-conditions/age-spots/symptoms-causes/syc-20355859
"Age-related macular degeneration, dry (See: Age-related macular degeneration, dry, also known asMacular degeneration, dry)",https://www.mayoclinic.org/diseases-conditions/dry-macular-degeneration/symptoms-causes/syc-20350375
"Age-related macular degeneration, wet (See: Age-related macular degeneration, wet, also known asMacular degeneration, wet)",https://www.mayoclinic.org/diseases-conditions/wet-macular-degeneration/symptoms-causes/syc-20351107
"Agnogenic myeloid metaplasia (See: Agnogenic myeloid metaplasia, also known asMyelofibrosis)",https://www.mayoclinic.org/diseases-conditions/myelofibrosis/symptoms-causes/syc-20355057
Agoraphobia,https://www.mayoclinic.org/diseases-conditions/agoraphobia/symptoms-causes/syc-20355987
"AIDP (See: AIDP, also known asGuillain-Barre syndrome)",https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/symptoms-causes/syc-20362793
"AIDS/HIV (See: AIDS/HIV, also known asHIV/AIDS)",https://www.mayoclinic.org/diseases-conditions/hiv-aids/symptoms-causes/syc-20373524
Airplane ear,https://www.mayoclinic.org/diseases-conditions/airplane-ear/symptoms-causes/syc-20351701
Albinism,https://www.mayoclinic.org/diseases-conditions/albinism/symptoms-causes/syc-20369184
"Alcohol addiction (See: Alcohol addiction, also known asAlcohol use disorder)",https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243
Alcohol intolerance,https://www.mayoclinic.org/diseases-conditions/alcohol-intolerance/symptoms-causes/syc-20369211
Alcohol poisoning,https://www.mayoclinic.org/diseases-conditions/alcohol-poisoning/symptoms-causes/syc-20354386
Alcohol use disorder,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243
Alcoholic hepatitis,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/symptoms-causes/syc-20351388
"Aldosteronoma (See: Aldosteronoma, also known asPrimary aldosteronism)",https://www.mayoclinic.org/diseases-conditions/primary-aldosteronism/symptoms-causes/syc-20351803
"Allergic granulomatosis (See: Allergic granulomatosis, also known asChurg-Strauss syndrome)",https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/symptoms-causes/syc-20353760
"Allergic granulomatosis and angiitis (See: Allergic granulomatosis and angiitis, also known asChurg-Strauss syndrome)",https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/symptoms-causes/syc-20353760
"Allergic rhinitis (See: Allergic rhinitis, also known asHay fever)",https://www.mayoclinic.org/diseases-conditions/hay-fever/symptoms-causes/syc-20373039
Allergies,https://www.mayoclinic.org/diseases-conditions/allergies/symptoms-causes/syc-20351497
"Allergy, dust mite (See: Allergy, dust mite, also known asDust mite allergy)",https://www.mayoclinic.org/diseases-conditions/dust-mites/symptoms-causes/syc-20352173
"Allergy, egg (See: Allergy, egg, also known asEgg allergy)",https://www.mayoclinic.org/diseases-conditions/egg-allergy/symptoms-causes/syc-20372115
"Allergy, food (See: Allergy, food, also known asFood allergy)",https://www.mayoclinic.org/diseases-conditions/food-allergy/symptoms-causes/syc-20355095
"Allergy, latex (See: Allergy, latex, also known asLatex allergy)",https://www.mayoclinic.org/diseases-conditions/latex-allergy/symptoms-causes/syc-20374287
"Allergy, milk (See: Allergy, milk, also known asMilk allergy)",https://www.mayoclinic.org/diseases-conditions/milk-allergy/symptoms-causes/syc-20375101
"Allergy, mold (See: Allergy, mold, also known asMold allergy)",https://www.mayoclinic.org/diseases-conditions/mold-allergy/symptoms-causes/syc-20351519
"Allergy, nickel (See: Allergy, nickel, also known asNickel allergy)",https://www.mayoclinic.org/diseases-conditions/nickel-allergy/symptoms-causes/syc-20351529
"Allergy, peanut (See: Allergy, peanut, also known asPeanut allergy)",https://www.mayoclinic.org/diseases-conditions/peanut-allergy/symptoms-causes/syc-20376175
"Allergy, penicillin (See: Allergy, penicillin, also known asPenicillin allergy)",https://www.mayoclinic.org/diseases-conditions/penicillin-allergy/symptoms-causes/syc-20376222
"Allergy, pet (See: Allergy, pet, also known asPet allergy)",https://www.mayoclinic.org/diseases-conditions/pet-allergy/symptoms-causes/syc-20352192
"Allergy, shellfish (See: Allergy, shellfish, also known asShellfish allergy)",https://www.mayoclinic.org/diseases-conditions/shellfish-allergy/symptoms-causes/syc-20377503
"Allergy, soy (See: Allergy, soy, also known asSoy allergy)",https://www.mayoclinic.org/diseases-conditions/soy-allergy/symptoms-causes/syc-20377802
"Allergy, wheat (See: Allergy, wheat, also known asWheat allergy)",https://www.mayoclinic.org/diseases-conditions/wheat-allergy/symptoms-causes/syc-20378897
"Alopecia (See: Alopecia, also known asHair loss)",https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926
Alpha-gal syndrome,https://www.mayoclinic.org/diseases-conditions/alpha-gal-syndrome/symptoms-causes/syc-20428608
"ALS (See: ALS, also known asAmyotrophic lateral sclerosis (ALS))",https://www.mayoclinic.org/diseases-conditions/amyotrophic-lateral-sclerosis/symptoms-causes/syc-20354022
"Alveolar osteitis (See: Alveolar osteitis, also known asDry socket)",https://www.mayoclinic.org/diseases-conditions/dry-socket/symptoms-causes/syc-20354376
Alzheimer's disease,https://www.mayoclinic.org/diseases-conditions/alzheimers-disease/symptoms-causes/syc-20350447
Ambiguous genitalia,https://www.mayoclinic.org/diseases-conditions/ambiguous-genitalia/symptoms-causes/syc-20369273
"Amblyopia (See: Amblyopia, also known asLazy eye (amblyopia))",https://www.mayoclinic.org/diseases-conditions/lazy-eye/symptoms-causes/syc-20352391
Ameloblastoma,https://www.mayoclinic.org/diseases-conditions/ameloblastoma/symptoms-causes/syc-20351278
Amenorrhea,https://www.mayoclinic.org/diseases-conditions/amenorrhea/symptoms-causes/syc-20369299
"American trypanosomiasis (See: American trypanosomiasis, also known asChagas disease)",https://www.mayoclinic.org/diseases-conditions/chagas-disease/symptoms-causes/syc-20356212
Amnesia,https://www.mayoclinic.org/diseases-conditions/amnesia/symptoms-causes/syc-20353360
"Amnesia, dissociative (See: Amnesia, dissociative, also known asDissociative disorders)",https://www.mayoclinic.org/diseases-conditions/dissociative-disorders/symptoms-causes/syc-20355215
"Amnesia, transient global (See: Amnesia, transient global, also known asTransient global amnesia)",https://www.mayoclinic.org/diseases-conditions/transient-global-amnesia/symptoms-causes/syc-20378531
"Amnestic syndrome (See: Amnestic syndrome, also known asAmnesia)",https://www.mayoclinic.org/diseases-conditions/amnesia/symptoms-causes/syc-20353360
Amniotic fluid embolism,https://www.mayoclinic.org/diseases-conditions/amniotic-fluid-embolism/symptoms-causes/syc-20369324
Ampullary cancer,https://www.mayoclinic.org/diseases-conditions/ampullary-cancer/symptoms-causes/syc-20355066
Amyloidosis,https://www.mayoclinic.org/diseases-conditions/amyloidosis/symptoms-causes/syc-20353178
Amyotrophic lateral sclerosis (ALS),https://www.mayoclinic.org/diseases-conditions/amyotrophic-lateral-sclerosis/symptoms-causes/syc-20354022
Anal cancer,https://www.mayoclinic.org/diseases-conditions/anal-cancer/symptoms-causes/syc-20354140
Anal fissure,https://www.mayoclinic.org/diseases-conditions/anal-fissure/symptoms-causes/syc-20351424
Anal fistula,https://www.mayoclinic.org/diseases-conditions/anal-fistula/symptoms-causes/syc-20352871
Anal itching,https://www.mayoclinic.org/diseases-conditions/anal-itching/symptoms-causes/syc-20369345
Anaphylaxis,https://www.mayoclinic.org/diseases-conditions/anaphylaxis/symptoms-causes/syc-20351468
"Anaplasmosis (See: Anaplasmosis, also known asEhrlichiosis)",https://www.mayoclinic.org/diseases-conditions/ehrlichiosis/symptoms-causes/syc-20372142
Anemia,https://www.mayoclinic.org/diseases-conditions/anemia/symptoms-causes/syc-20351360
"Anemia, aplastic (See: Anemia, aplastic, also known asAplastic anemia)",https://www.mayoclinic.org/diseases-conditions/aplastic-anemia/symptoms-causes/syc-20355015
"Anemia, Cooley's (See: Anemia, Cooley's, also known asThalassemia)",https://www.mayoclinic.org/diseases-conditions/thalassemia/symptoms-causes/syc-20354995
"Anemia, iron deficiency (See: Anemia, iron deficiency, also known asIron deficiency anemia)",https://www.mayoclinic.org/diseases-conditions/iron-deficiency-anemia/symptoms-causes/syc-20355034
"Anemia, Mediterranean (See: Anemia, Mediterranean, also known asThalassemia)",https://www.mayoclinic.org/diseases-conditions/thalassemia/symptoms-causes/syc-20354995
"Anemia, sickle cell (See: Anemia, sickle cell, also known asSickle cell anemia)",https://www.mayoclinic.org/diseases-conditions/sickle-cell-anemia/symptoms-causes/syc-20355876
"Anemia, vitamin deficiency (See: Anemia, vitamin deficiency, also known asVitamin deficiency anemia)",https://www.mayoclinic.org/diseases-conditions/vitamin-deficiency-anemia/symptoms-causes/syc-20355025
"Aneurysm, abdominal aortic (See: Aneurysm, abdominal aortic, also known asAbdominal aortic aneurysm)",https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688
"Aneurysm, aortic (See: Aneurysm, aortic, also known asAortic aneurysm)",https://www.mayoclinic.org/diseases-conditions/aortic-aneurysm/symptoms-causes/syc-20369472
"Aneurysm, brain (See: Aneurysm, brain, also known asBrain aneurysm)",https://www.mayoclinic.org/diseases-conditions/brain-aneurysm/symptoms-causes/syc-20361483
"Aneurysm, cerebral (See: Aneurysm, cerebral, also known asBrain aneurysm)",https://www.mayoclinic.org/diseases-conditions/brain-aneurysm/symptoms-causes/syc-20361483
"Aneurysm, popliteal (See: Aneurysm, popliteal, also known asPopliteal artery aneurysm)",https://www.mayoclinic.org/diseases-conditions/popliteal-artery-aneurysm/symptoms-causes/syc-20355432
"Aneurysm, thoracic aortic (See: Aneurysm, thoracic aortic, also known asThoracic aortic aneurysm)",https://www.mayoclinic.org/diseases-conditions/thoracic-aortic-aneurysm/symptoms-causes/syc-20350188
Aneurysms,https://www.mayoclinic.org/diseases-conditions/aneurysms/symptoms-causes/syc-20354633
Angelman syndrome,https://www.mayoclinic.org/diseases-conditions/angelman-syndrome/symptoms-causes/syc-20355621
"Angiitis (See: Angiitis, also known asVasculitis)",https://www.mayoclinic.org/diseases-conditions/vasculitis/symptoms-causes/syc-20363435
Angina,https://www.mayoclinic.org/diseases-conditions/angina/symptoms-causes/syc-20369373
"Angina pectoris (See: Angina pectoris, also known asAngina)",https://www.mayoclinic.org/diseases-conditions/angina/symptoms-causes/syc-20369373
"Angioedema and hives (See: Angioedema and hives, also known asHives and angioedema)",https://www.mayoclinic.org/diseases-conditions/hives-and-angioedema/symptoms-causes/syc-20354908
"Angiofollicular lymph node hyperplasia (See: Angiofollicular lymph node hyperplasia, also known asCastleman disease)",https://www.mayoclinic.org/diseases-conditions/castleman-disease/symptoms-causes/syc-20370735
Angiosarcoma,https://www.mayoclinic.org/diseases-conditions/angiosarcoma/symptoms-causes/syc-20350244
Anhidrosis,https://www.mayoclinic.org/diseases-conditions/anhidrosis/symptoms-causes/syc-20369400
"Ankle fracture (See: Ankle fracture, also known asBroken ankle)",https://www.mayoclinic.org/diseases-conditions/broken-ankle/symptoms-causes/syc-20450025
"Ankle sprain (See: Ankle sprain, also known asSprained ankle)",https://www.mayoclinic.org/diseases-conditions/sprained-ankle/symptoms-causes/syc-20353225
"Ankyloglossia (See: Ankyloglossia, also known asTongue-tie (ankyloglossia))",https://www.mayoclinic.org/diseases-conditions/tongue-tie/symptoms-causes/syc-20378452
Ankylosing spondylitis,https://www.mayoclinic.org/diseases-conditions/ankylosing-spondylitis/symptoms-causes/syc-20354808
"Anorexia (See: Anorexia, also known asAnorexia nervosa)",https://www.mayoclinic.org/diseases-conditions/anorexia-nervosa/symptoms-causes/syc-20353591
Anorexia nervosa,https://www.mayoclinic.org/diseases-conditions/anorexia-nervosa/symptoms-causes/syc-20353591
Anorgasmia in women,https://www.mayoclinic.org/diseases-conditions/anorgasmia/symptoms-causes/syc-20369422
"Anterior cruciate ligament injury (See: Anterior cruciate ligament injury, also known asACL injury)",https://www.mayoclinic.org/diseases-conditions/acl-injury/symptoms-causes/syc-20350738
Anterior prolapse (cystocele),https://www.mayoclinic.org/diseases-conditions/cystocele/symptoms-causes/syc-20369452
Anthrax,https://www.mayoclinic.org/diseases-conditions/anthrax/symptoms-causes/syc-20356203
"Antibiotic-associated colitis (See: Antibiotic-associated colitis, also known asPseudomembranous colitis)",https://www.mayoclinic.org/diseases-conditions/pseudomembranous-colitis/symptoms-causes/syc-20351434
Antibiotic-associated diarrhea,https://www.mayoclinic.org/diseases-conditions/antibiotic-associated-diarrhea/symptoms-causes/syc-20352231
Antiphospholipid syndrome,https://www.mayoclinic.org/diseases-conditions/antiphospholipid-syndrome/symptoms-causes/syc-20355831
Antisocial personality disorder,https://www.mayoclinic.org/diseases-conditions/antisocial-personality-disorder/symptoms-causes/syc-20353928
"Anxiety disorder, generalized (See: Anxiety disorder, generalized, also known asGeneralized anxiety disorder)",https://www.mayoclinic.org/diseases-conditions/generalized-anxiety-disorder/symptoms-causes/syc-20360803
"Anxiety disorder, social (See: Anxiety disorder, social, also known asSocial anxiety disorder)",https://www.mayoclinic.org/diseases-conditions/social-anxiety-disorder/symptoms-causes/syc-20353561
Anxiety disorders,https://www.mayoclinic.org/diseases-conditions/anxiety/symptoms-causes/syc-20350961
Aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/aortic-aneurysm/symptoms-causes/syc-20369472
"Aortic coarctation (See: Aortic coarctation, also known asCoarctation of the aorta)",https://www.mayoclinic.org/diseases-conditions/coarctation-of-the-aorta/symptoms-causes/syc-20352529
Aortic dissection,https://www.mayoclinic.org/diseases-conditions/aortic-dissection/symptoms-causes/syc-20369496
Aortic valve disease,https://www.mayoclinic.org/diseases-conditions/aortic-valve-disease/symptoms-causes/syc-20355117
Aortic valve regurgitation,https://www.mayoclinic.org/diseases-conditions/aortic-valve-regurgitation/symptoms-causes/syc-20353129
Aortic valve stenosis,https://www.mayoclinic.org/diseases-conditions/aortic-stenosis/symptoms-causes/syc-20353139
Aphasia,https://www.mayoclinic.org/diseases-conditions/aphasia/symptoms-causes/syc-20369518
"Aphasia, primary progressive (See: Aphasia, primary progressive, also known asPrimary progressive aphasia)",https://www.mayoclinic.org/diseases-conditions/primary-progressive-aphasia/symptoms-causes/syc-20350499
"Aphthous ulcer (See: Aphthous ulcer, also known asCanker sore)",https://www.mayoclinic.org/diseases-conditions/canker-sore/symptoms-causes/syc-20370615
"Apical ballooning syndrome (See: Apical ballooning syndrome, also known asBroken heart syndrome)",https://www.mayoclinic.org/diseases-conditions/broken-heart-syndrome/symptoms-causes/syc-20354617
Aplastic anemia,https://www.mayoclinic.org/diseases-conditions/aplastic-anemia/symptoms-causes/syc-20355015
Appendicitis,https://www.mayoclinic.org/diseases-conditions/appendicitis/symptoms-causes/syc-20369543
ARDS,https://www.mayoclinic.org/diseases-conditions/ards/symptoms-causes/syc-20355576
"Arenaviruses (See: Arenaviruses, also known asViral hemorrhagic fevers)",https://www.mayoclinic.org/diseases-conditions/viral-hemorrhagic-fevers/symptoms-causes/syc-20351260
"Argentine hemorrhagic fever (See: Argentine hemorrhagic fever, also known asViral hemorrhagic fevers)",https://www.mayoclinic.org/diseases-conditions/viral-hemorrhagic-fevers/symptoms-causes/syc-20351260
"Arm fracture (See: Arm fracture, also known asBroken arm)",https://www.mayoclinic.org/diseases-conditions/broken-arm/symptoms-causes/syc-20353260
"Arrhythmia (See: Arrhythmia, also known asHeart arrhythmias)",https://www.mayoclinic.org/diseases-conditions/heart-arrhythmia/symptoms-causes/syc-20350668
Arteriosclerosis / atherosclerosis,https://www.mayoclinic.org/diseases-conditions/arteriosclerosis-atherosclerosis/symptoms-causes/syc-20350569
Arteriovenous fistula,https://www.mayoclinic.org/diseases-conditions/arteriovenous-fistula/symptoms-causes/syc-20369567
Arteriovenous malformation,https://www.mayoclinic.org/diseases-conditions/arteriovenous-malformation/symptoms-causes/syc-20350544
"Arteritis, giant cell (See: Arteritis, giant cell, also known asGiant cell arteritis)",https://www.mayoclinic.org/diseases-conditions/giant-cell-arteritis/symptoms-causes/syc-20372758
"Arteritis, Takayasu's (See: Arteritis, Takayasu's, also known asTakayasu's arteritis)",https://www.mayoclinic.org/diseases-conditions/takayasus-arteritis/symptoms-causes/syc-20351335
Arthritis,https://www.mayoclinic.org/diseases-conditions/arthritis/symptoms-causes/syc-20350772
"Arthritis, basal joint (See: Arthritis, basal joint, also known asThumb arthritis)",https://www.mayoclinic.org/diseases-conditions/thumb-arthritis/symptoms-causes/syc-20378339
"Arthritis, degenerative (See: Arthritis, degenerative, also known asOsteoarthritis)",https://www.mayoclinic.org/diseases-conditions/osteoarthritis/symptoms-causes/syc-20351925
"Arthritis, gouty (See: Arthritis, gouty, also known asGout)",https://www.mayoclinic.org/diseases-conditions/gout/symptoms-causes/syc-20372897
"Arthritis, infectious (See: Arthritis, infectious, also known asSeptic arthritis)",https://www.mayoclinic.org/diseases-conditions/bone-and-joint-infections/symptoms-causes/syc-20350755
"Arthritis, juvenile idiopathic (See: Arthritis, juvenile idiopathic, also known asJuvenile idiopathic arthritis)",https://www.mayoclinic.org/diseases-conditions/juvenile-idiopathic-arthritis/symptoms-causes/syc-20374082
"Arthritis, osteoarthritis (See: Arthritis, osteoarthritis, also known asOsteoarthritis)",https://www.mayoclinic.org/diseases-conditions/osteoarthritis/symptoms-causes/syc-20351925
"Arthritis, psoriatic (See: Arthritis, psoriatic, also known asPsoriatic arthritis)",https://www.mayoclinic.org/diseases-conditions/psoriatic-arthritis/symptoms-causes/syc-20354076
"Arthritis, reactive (See: Arthritis, reactive, also known asReactive arthritis)",https://www.mayoclinic.org/diseases-conditions/reactive-arthritis/symptoms-causes/syc-20354838
"Arthritis, rheumatoid (See: Arthritis, rheumatoid, also known asRheumatoid arthritis)",https://www.mayoclinic.org/diseases-conditions/rheumatoid-arthritis/symptoms-causes/syc-20353648
"Arthritis, septic (See: Arthritis, septic, also known asSeptic arthritis)",https://www.mayoclinic.org/diseases-conditions/bone-and-joint-infections/symptoms-causes/syc-20350755
"Arthritis, thumb (See: Arthritis, thumb, also known asThumb arthritis)",https://www.mayoclinic.org/diseases-conditions/thumb-arthritis/symptoms-causes/syc-20378339
Asbestosis,https://www.mayoclinic.org/diseases-conditions/asbestosis/symptoms-causes/syc-20354637
Ascariasis,https://www.mayoclinic.org/diseases-conditions/ascariasis/symptoms-causes/syc-20369593
"ASD (See: ASD, also known asAtrial septal defect (ASD))",https://www.mayoclinic.org/diseases-conditions/atrial-septal-defect/symptoms-causes/syc-20369715
"Aseptic necrosis (See: Aseptic necrosis, also known asAvascular necrosis)",https://www.mayoclinic.org/diseases-conditions/avascular-necrosis/symptoms-causes/syc-20369859
Aspergillosis,https://www.mayoclinic.org/diseases-conditions/aspergillosis/symptoms-causes/syc-20369619
Asthma,https://www.mayoclinic.org/diseases-conditions/asthma/symptoms-causes/syc-20369653
Asthma attack,https://www.mayoclinic.org/diseases-conditions/asthma-attack/symptoms-causes/syc-20354268
"Asthma, childhood (See: Asthma, childhood, also known asChildhood asthma)",https://www.mayoclinic.org/diseases-conditions/childhood-asthma/symptoms-causes/syc-20351507
"Asthma, exercise-induced (See: Asthma, exercise-induced, also known asExercise-induced asthma)",https://www.mayoclinic.org/diseases-conditions/exercise-induced-asthma/symptoms-causes/syc-20372300
"Asthma, occupational (See: Asthma, occupational, also known asOccupational asthma)",https://www.mayoclinic.org/diseases-conditions/occupational-asthma/symptoms-causes/syc-20375772
Astigmatism,https://www.mayoclinic.org/diseases-conditions/astigmatism/symptoms-causes/syc-20353835
Astrocytoma,https://www.mayoclinic.org/diseases-conditions/astrocytoma/cdc-20350132
"AT (See: AT, also known asAtrial tachycardia)",https://www.mayoclinic.org/diseases-conditions/atrial-tachycardia/cdc-20355258
Ataxia,https://www.mayoclinic.org/diseases-conditions/ataxia/symptoms-causes/syc-20355652
Atelectasis,https://www.mayoclinic.org/diseases-conditions/atelectasis/symptoms-causes/syc-20369684
"Atherosclerosis (See: Atherosclerosis, also known asArteriosclerosis / atherosclerosis)",https://www.mayoclinic.org/diseases-conditions/arteriosclerosis-atherosclerosis/symptoms-causes/syc-20350569
Athlete's foot,https://www.mayoclinic.org/diseases-conditions/athletes-foot/symptoms-causes/syc-20353841
Atopic dermatitis (eczema),https://www.mayoclinic.org/diseases-conditions/atopic-dermatitis-eczema/symptoms-causes/syc-20353273
Atrial fibrillation,https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/symptoms-causes/syc-20350624
